dataset,budget,split,strategy,n_examples,accuracy,avg_actions,avg_expansions,avg_verifications,budget_exhaustion_rate
openai/gsm8k,6,eval,reasoning_greedy,12,0.5833333333333334,1.9166666666666667,1.9166666666666667,0.0,0.0
openai/gsm8k,6,eval,self_consistency_3,12,0.8333333333333334,6.0,4.083333333333333,1.9166666666666667,1.0
openai/gsm8k,6,eval,reasoning_beam2,12,0.5,4.166666666666667,4.166666666666667,0.0,0.25
openai/gsm8k,6,eval,adaptive_min_expand_0,12,0.3333333333333333,3.6666666666666665,0.9166666666666666,2.75,0.4166666666666667
openai/gsm8k,6,eval,adaptive_min_expand_1,12,0.25,3.75,2.5,1.25,0.4166666666666667
openai/gsm8k,6,eval,adaptive_min_expand_2,12,0.4166666666666667,4.083333333333333,4.0,0.08333333333333333,0.0
openai/gsm8k,6,eval,verifier_guided_search,12,0.25,6.0,3.0,3.0,1.0
openai/gsm8k,6,eval,program_of_thought,12,0.0,2.0,1.0,0.0,0.0
openai/gsm8k,8,eval,reasoning_greedy,12,0.3333333333333333,1.5,1.5,0.0,0.0
openai/gsm8k,8,eval,self_consistency_3,12,0.5,7.75,5.833333333333333,1.9166666666666667,0.8333333333333334
openai/gsm8k,8,eval,reasoning_beam2,12,0.4166666666666667,4.75,4.75,0.0,0.08333333333333333
openai/gsm8k,8,eval,adaptive_min_expand_0,12,0.08333333333333333,5.25,0.5833333333333334,4.666666666666667,0.5833333333333334
openai/gsm8k,8,eval,adaptive_min_expand_1,12,0.5,5.166666666666667,3.3333333333333335,1.8333333333333333,0.25
openai/gsm8k,8,eval,adaptive_min_expand_2,12,0.4166666666666667,4.916666666666667,4.0,0.9166666666666666,0.25
openai/gsm8k,8,eval,verifier_guided_search,12,0.08333333333333333,6.0,3.0,3.0,0.0
openai/gsm8k,8,eval,program_of_thought,12,0.0,2.0,1.0,0.0,0.0
