example_id,pal_corrected_gold_in_tree,pal_discovery3_candidate_gold_present,pal_final_nodes_normalized_answers_json,pal_selector_candidate_pool_json
openai_gsm8k_277,1,1,"[""16"", ""55"", ""60""]","[""16"", ""60""]"
openai_gsm8k_278,1,1,"[""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]","[""5"", ""5""]"
openai_gsm8k_279,1,1,"[""63"", ""63"", ""63"", ""63"", ""63"", ""63"", ""63""]","[""63"", ""63""]"
openai_gsm8k_281,1,1,"[""180"", ""258"", ""348""]","[""180"", ""348""]"
openai_gsm8k_282,1,1,"[""42"", ""72"", ""72"", ""72"", ""72"", ""72"", ""72""]","[""42"", ""72""]"
openai_gsm8k_283,1,1,"[""450"", ""20"", ""20"", ""20"", ""20"", ""20"", ""20""]","[""450"", ""20""]"
openai_gsm8k_284,1,1,"[""1"", ""16"", ""16""]","[""1"", ""16""]"
openai_gsm8k_285,1,1,"[""14"", ""144"", ""104"", ""104"", ""104"", ""104"", ""104""]","[""14"", ""104""]"
openai_gsm8k_286,1,1,"[""4"", ""4000"", ""4000"", ""4000"", ""4000""]","[""4"", ""4000""]"
openai_gsm8k_287,1,1,"[""140"", ""140"", ""140"", ""140"", ""140"", ""140"", ""140"", ""140""]","[""140"", ""140""]"
openai_gsm8k_288,1,1,"[""40"", ""40"", ""40"", ""40"", ""40"", ""40"", ""40"", ""40"", ""40"", ""40""]","[""40"", ""40""]"
openai_gsm8k_290,1,1,"[""1400"", ""889"", ""826""]","[""1400"", ""826""]"
openai_gsm8k_291,0,0,"[""12"", ""27"", ""27"", ""27"", ""27""]","[""12"", ""27""]"
openai_gsm8k_292,1,1,"[""0.75"", ""26"", ""26"", ""26.00"", ""26.00"", ""26.00"", ""26.00""]","[""0.75"", ""26""]"
openai_gsm8k_293,1,1,"[""99"", ""18"", ""27"", ""27"", ""27""]","[""99"", ""27""]"
openai_gsm8k_294,1,1,"[""48"", ""48"", ""58"", ""48"", ""58"", ""58"", ""58"", ""58""]","[""48"", ""48""]"
openai_gsm8k_295,1,1,"[""10"", ""10"", ""2.5"", ""3"", ""3"", ""3"", ""3"", ""3""]","[""10"", ""3""]"
openai_gsm8k_296,1,1,"[""60000"", ""60000"", ""60000"", ""60000"", ""60000""]","[""60000"", ""60000""]"
openai_gsm8k_298,1,1,"[""120"", ""470"", ""482"", ""472"", ""472""]","[""120"", ""482""]"
openai_gsm8k_299,1,1,"[""50"", ""50"", ""40"", ""50"", ""50"", ""50"", ""50"", ""50""]","[""50"", ""50""]"
openai_gsm8k_300,1,1,"[""17"", ""17"", ""17"", ""17"", ""17"", ""17"", ""17""]","[""17"", ""17""]"
openai_gsm8k_301,1,1,"[""85"", ""28"", ""54"", ""54"", ""54""]","[""85"", ""54""]"
openai_gsm8k_302,1,1,"[""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9""]","[""9"", ""9""]"
openai_gsm8k_304,0,0,"[""21"", ""75"", ""42""]","[""21"", ""42""]"
openai_gsm8k_305,1,1,"[""11"", ""2"", ""2"", ""3"", ""3"", ""3"", ""3""]","[""11"", ""2""]"
openai_gsm8k_306,1,1,"[""20"", ""15"", ""15""]","[""20"", ""15""]"
openai_gsm8k_307,1,1,"[""4"", ""6"", ""6""]","[""4"", ""6""]"
openai_gsm8k_308,1,1,"[""6500"", ""-250"", ""1100"", ""6500"", ""6500"", ""6500"", ""6500""]","[""6500"", ""1100""]"
openai_gsm8k_309,1,1,"[""76"", ""76"", ""64"", ""76"", ""76"", ""76"", ""76"", ""76""]","[""76"", ""76""]"
openai_gsm8k_311,1,1,"[""125"", ""100"", ""100"", ""100"", ""100""]","[""125"", ""100""]"
openai_gsm8k_312,0,0,"[""2"", ""180"", ""96""]","[""2"", ""96""]"
openai_gsm8k_313,1,1,"[""40"", ""260"", ""20""]","[""40"", ""20""]"
openai_gsm8k_314,1,1,"[""140"", ""92"", ""92"", ""92"", ""92""]","[""140"", ""92""]"
openai_gsm8k_315,1,1,"[""60"", ""75"", ""75"", ""75"", ""75""]","[""60"", ""75""]"
openai_gsm8k_316,1,1,"[""30"", ""18"", ""12""]","[""30"", ""12""]"
openai_gsm8k_317,1,1,"[""400"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80""]","[""400"", ""80""]"
openai_gsm8k_318,1,1,"[""10"", ""38"", ""38"", ""34"", ""34""]","[""10"", ""38""]"
openai_gsm8k_319,1,1,"[""2400"", ""2400"", ""2400"", ""2400"", ""200"", ""200"", ""200"", ""200"", ""200"", ""200""]","[""2400"", ""2400""]"
openai_gsm8k_320,1,1,"[""11500"", ""11500"", ""6100"", ""7300"", ""7300"", ""7300"", ""7300"", ""7300""]","[""11500"", ""7300""]"
openai_gsm8k_321,1,1,"[""230"", ""230"", ""460"", ""460"", ""230"", ""230"", ""230"", ""230"", ""230"", ""230""]","[""230"", ""460""]"
openai_gsm8k_322,1,1,"[""60"", ""97"", ""90""]","[""60"", ""90""]"
openai_gsm8k_323,1,1,"[""1.5"", ""32"", ""32"", ""32"", ""32"", ""32"", ""32""]","[""1.5"", ""32""]"
openai_gsm8k_325,1,1,"[""10"", ""5"", ""5"", ""5"", ""5""]","[""10"", ""5""]"
