example_id,pal_seed_ran,pal_budget_cost_observed,pal_code_present,pal_json_answer_present,pal_confidence_present,pal_parse_ok,pal_safety_ok,pal_exec_ok,pal_stdout_present,pal_answer_raw,pal_answer_normalized,pal_error_type,pal_candidate_strong,pal_overlay_triggered,pal_integration_fix_triggered,pal_exact
openai_gsm8k_277,1,1,1,1,1,1,1,1,1,60,60,,1,1,0,1
openai_gsm8k_278,1,1,1,1,1,1,1,1,1,5,5,,1,1,0,1
openai_gsm8k_279,1,1,1,1,1,1,1,1,1,63,63,,1,1,0,1
openai_gsm8k_281,1,1,1,1,1,1,1,1,1,348,348,,1,1,0,1
openai_gsm8k_282,1,1,1,1,1,1,1,1,1,72,72,,1,1,0,1
openai_gsm8k_283,1,1,1,1,1,1,1,1,1,20,20,,1,1,0,1
openai_gsm8k_284,1,1,1,1,1,1,1,1,1,16,16,,1,1,0,1
openai_gsm8k_285,1,1,1,1,1,1,1,1,1,104,104,,1,1,0,1
openai_gsm8k_286,1,1,1,1,1,1,1,1,1,4000,4000,,1,1,0,1
openai_gsm8k_287,1,1,1,1,1,1,1,1,1,140,140,,1,1,0,1
openai_gsm8k_288,1,1,1,1,1,1,1,1,1,40,40,,1,1,0,1
openai_gsm8k_290,1,1,1,1,1,1,1,1,1,826,826,,1,1,0,1
openai_gsm8k_291,1,1,1,1,1,1,1,1,1,27,27,,1,1,0,0
openai_gsm8k_292,1,1,1,1,1,1,1,1,1,26,26,,1,1,0,1
openai_gsm8k_293,1,1,1,1,1,1,1,1,1,27,27,,1,1,0,1
openai_gsm8k_294,1,1,1,1,1,1,1,1,1,48,48,,1,1,0,1
openai_gsm8k_295,1,1,1,1,1,1,1,1,1,3,3,,1,1,0,1
openai_gsm8k_296,1,1,1,1,1,1,1,1,1,60000,60000,,1,1,0,1
openai_gsm8k_298,1,1,1,1,1,1,1,1,1,482,482,,1,1,0,1
openai_gsm8k_299,1,1,1,1,1,1,1,1,1,50,50,,1,1,0,1
openai_gsm8k_300,1,1,1,1,1,1,1,1,1,17,17,,1,1,0,1
openai_gsm8k_301,1,1,1,1,1,1,1,1,1,54,54,,1,1,0,1
openai_gsm8k_302,1,1,1,1,1,1,1,1,1,9,9,,1,1,0,1
openai_gsm8k_304,1,1,1,1,1,1,1,1,1,42,42,,1,1,0,0
openai_gsm8k_305,1,1,1,1,1,1,1,1,1,2,2,,1,1,0,1
openai_gsm8k_306,1,1,1,1,1,1,1,1,1,15,15,,1,1,0,1
openai_gsm8k_307,1,1,1,1,1,1,1,1,1,6,6,,1,1,0,1
openai_gsm8k_308,1,1,1,1,1,1,1,1,1,1100,1100,,1,1,0,1
openai_gsm8k_309,1,1,1,1,1,1,1,1,1,76,76,,1,1,0,1
openai_gsm8k_311,1,1,1,1,1,1,1,1,1,100,100,,1,1,0,1
openai_gsm8k_312,1,1,1,1,1,1,1,1,1,96,96,,1,1,0,0
openai_gsm8k_313,1,1,1,1,1,1,1,1,1,20,20,,1,1,0,1
openai_gsm8k_314,1,1,1,1,1,1,1,1,1,92,92,,1,1,0,1
openai_gsm8k_315,1,1,1,1,1,1,1,1,1,75,75,,1,1,0,1
openai_gsm8k_316,1,1,1,1,1,1,1,1,1,12,12,,1,1,0,1
openai_gsm8k_317,1,1,1,1,1,1,1,1,1,80,80,,1,1,0,1
openai_gsm8k_318,1,1,1,1,1,1,0,0,0,,,SafetyError,0,0,0,1
openai_gsm8k_319,1,1,1,1,1,1,1,1,1,2400,2400,,1,1,0,1
openai_gsm8k_320,1,1,1,1,1,1,1,1,1,7300,7300,,1,1,0,1
openai_gsm8k_321,1,1,1,1,1,1,1,1,1,460,460,,1,0,0,1
openai_gsm8k_322,1,1,1,1,1,1,1,1,1,90,90,,1,1,0,1
openai_gsm8k_323,1,1,1,1,1,1,1,1,1,32,32,,1,1,0,1
openai_gsm8k_325,1,1,1,1,1,1,1,1,1,5,5,,1,1,0,1
