example_id,budget,method,delta_vs_strict_f3,delta_vs_external_l1_max
openai_gsm8k_3,4,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_3,4,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_3,4,branching_necessity_gate_v1,1,0
openai_gsm8k_3,4,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_576,4,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_576,4,direct_reserve_semantic_frontier_v1,1,1
openai_gsm8k_576,4,branching_necessity_gate_v1,0,0
openai_gsm8k_576,4,semantic_minimum_maturation_plus_direct_reserve_v1,1,1
openai_gsm8k_5,4,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_5,4,direct_reserve_semantic_frontier_v1,1,1
openai_gsm8k_5,4,branching_necessity_gate_v1,0,0
openai_gsm8k_5,4,semantic_minimum_maturation_plus_direct_reserve_v1,1,1
openai_gsm8k_6,4,semantic_minimum_maturation_frontier_v1_d3,-1,0
openai_gsm8k_6,4,direct_reserve_semantic_frontier_v1,-1,0
openai_gsm8k_6,4,branching_necessity_gate_v1,-1,0
openai_gsm8k_6,4,semantic_minimum_maturation_plus_direct_reserve_v1,-1,0
openai_gsm8k_12,4,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_12,4,direct_reserve_semantic_frontier_v1,1,1
openai_gsm8k_12,4,branching_necessity_gate_v1,0,0
openai_gsm8k_12,4,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_17,4,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_17,4,direct_reserve_semantic_frontier_v1,-1,-1
openai_gsm8k_17,4,branching_necessity_gate_v1,0,0
openai_gsm8k_17,4,semantic_minimum_maturation_plus_direct_reserve_v1,-1,-1
openai_gsm8k_158,4,semantic_minimum_maturation_frontier_v1_d3,1,0
openai_gsm8k_158,4,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_158,4,branching_necessity_gate_v1,0,-1
openai_gsm8k_158,4,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_1,4,semantic_minimum_maturation_frontier_v1_d3,1,1
openai_gsm8k_1,4,direct_reserve_semantic_frontier_v1,1,1
openai_gsm8k_1,4,branching_necessity_gate_v1,1,1
openai_gsm8k_1,4,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_7,4,semantic_minimum_maturation_frontier_v1_d3,-1,-1
openai_gsm8k_7,4,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_7,4,branching_necessity_gate_v1,0,0
openai_gsm8k_7,4,semantic_minimum_maturation_plus_direct_reserve_v1,-1,-1
openai_gsm8k_3,6,semantic_minimum_maturation_frontier_v1_d3,-1,-1
openai_gsm8k_3,6,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_3,6,branching_necessity_gate_v1,-1,-1
openai_gsm8k_3,6,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_576,6,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_576,6,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_576,6,branching_necessity_gate_v1,0,-1
openai_gsm8k_576,6,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_5,6,semantic_minimum_maturation_frontier_v1_d3,1,0
openai_gsm8k_5,6,direct_reserve_semantic_frontier_v1,0,-1
openai_gsm8k_5,6,branching_necessity_gate_v1,0,-1
openai_gsm8k_5,6,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_6,6,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_6,6,direct_reserve_semantic_frontier_v1,1,1
openai_gsm8k_6,6,branching_necessity_gate_v1,0,0
openai_gsm8k_6,6,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_12,6,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_12,6,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_12,6,branching_necessity_gate_v1,0,-1
openai_gsm8k_12,6,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_17,6,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_17,6,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_17,6,branching_necessity_gate_v1,0,0
openai_gsm8k_17,6,semantic_minimum_maturation_plus_direct_reserve_v1,-1,-1
openai_gsm8k_158,6,semantic_minimum_maturation_frontier_v1_d3,-1,-1
openai_gsm8k_158,6,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_158,6,branching_necessity_gate_v1,-1,-1
openai_gsm8k_158,6,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_1,6,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_1,6,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_1,6,branching_necessity_gate_v1,1,1
openai_gsm8k_1,6,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_7,6,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_7,6,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_7,6,branching_necessity_gate_v1,0,0
openai_gsm8k_7,6,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_3,8,semantic_minimum_maturation_frontier_v1_d3,-1,-1
openai_gsm8k_3,8,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_3,8,branching_necessity_gate_v1,-1,-1
openai_gsm8k_3,8,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_576,8,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_576,8,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_576,8,branching_necessity_gate_v1,0,-1
openai_gsm8k_576,8,semantic_minimum_maturation_plus_direct_reserve_v1,0,-1
openai_gsm8k_5,8,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_5,8,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_5,8,branching_necessity_gate_v1,0,-1
openai_gsm8k_5,8,semantic_minimum_maturation_plus_direct_reserve_v1,0,-1
openai_gsm8k_6,8,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_6,8,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_6,8,branching_necessity_gate_v1,0,0
openai_gsm8k_6,8,semantic_minimum_maturation_plus_direct_reserve_v1,1,1
openai_gsm8k_12,8,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_12,8,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_12,8,branching_necessity_gate_v1,0,-1
openai_gsm8k_12,8,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_17,8,semantic_minimum_maturation_frontier_v1_d3,1,0
openai_gsm8k_17,8,direct_reserve_semantic_frontier_v1,0,-1
openai_gsm8k_17,8,branching_necessity_gate_v1,1,0
openai_gsm8k_17,8,semantic_minimum_maturation_plus_direct_reserve_v1,0,-1
openai_gsm8k_158,8,semantic_minimum_maturation_frontier_v1_d3,0,-1
openai_gsm8k_158,8,direct_reserve_semantic_frontier_v1,1,0
openai_gsm8k_158,8,branching_necessity_gate_v1,1,0
openai_gsm8k_158,8,semantic_minimum_maturation_plus_direct_reserve_v1,1,0
openai_gsm8k_1,8,semantic_minimum_maturation_frontier_v1_d3,1,1
openai_gsm8k_1,8,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_1,8,branching_necessity_gate_v1,1,1
openai_gsm8k_1,8,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
openai_gsm8k_7,8,semantic_minimum_maturation_frontier_v1_d3,0,0
openai_gsm8k_7,8,direct_reserve_semantic_frontier_v1,0,0
openai_gsm8k_7,8,branching_necessity_gate_v1,0,0
openai_gsm8k_7,8,semantic_minimum_maturation_plus_direct_reserve_v1,0,0
