case_id,method,valid_for_primary_question,candidate_answer_group_count,answer_group_entropy,frontier_collapse_detected,direct_l1_anchor_present,per_anchor_support_json,diverse_prompt_anchor_metadata_json
openai_gsm8k_6,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.0,True,True,"{""direct_l1_anchor"": 1}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""32"", ""answer_group"": ""32"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 1, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.0}]"
openai_gsm8k_17,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,1,0.6365141682948128,True,True,"{""direct_l1_anchor"": 2}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""10"", ""answer_group"": ""10"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 2, ""candidate_pool_answer_group_count"": 1, ""answer_group_entropy"": 0.6365141682948128}]"
openai_gsm8k_22,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6365141682948128,False,True,"{""direct_l1_anchor"": 2}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""22"", ""answer_group"": ""22"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 2, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6365141682948128}]"
openai_gsm8k_36,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6931471805599453,False,True,"{""direct_l1_anchor"": 1}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""91"", ""answer_group"": ""91"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 1, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6931471805599453}]"
openai_gsm8k_51,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6365141682948128,False,True,"{""direct_l1_anchor"": 2}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""21"", ""answer_group"": ""21"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 2, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6365141682948128}]"
openai_gsm8k_70,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6365141682948128,False,True,"{""direct_l1_anchor"": 1}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""40"", ""answer_group"": ""40"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 1, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6365141682948128}]"
openai_gsm8k_73,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6365141682948128,False,True,"{""direct_l1_anchor"": 2}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""60"", ""answer_group"": ""60"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 2, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6365141682948128}]"
openai_gsm8k_162,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6365141682948128,False,True,"{""direct_l1_anchor"": 1}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""42"", ""answer_group"": ""42"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 1, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6365141682948128}]"
openai_gsm8k_166,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.0,True,True,"{""direct_l1_anchor"": 1}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""14"", ""answer_group"": ""14"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 1, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.0}]"
openai_gsm8k_168,direct_reserve_diverse_root_frontier_v1_guarded_k1_frontier4_frontier_tiebreak_direct_hybrid,no,2,0.6365141682948128,False,True,"{""direct_l1_anchor"": 2}","[{""anchor_id"": ""direct_l1_anchor"", ""anchor_prompt_style"": ""direct_l1_max_budget"", ""source_family"": ""direct_l1_anchor"", ""candidate_answer"": ""20"", ""answer_group"": ""20"", ""budget_cost_observed"": 1, ""executed"": true, ""source_metadata"": ""direct_l1_anchor"", ""per_anchor_support"": 2, ""candidate_pool_answer_group_count"": 2, ""answer_group_entropy"": 0.6365141682948128}]"
