formula,formula_expr,budget,accuracy,repeated_same_family_present,avg_max_family_share
fixed_k6,K(b)=6,4,0.5833333333333334,50,0.6736111111111112
min6_half,"K(b)=min(6,floor(b/2))",4,0.5555555555555556,20,0.5
min6_third,"K(b)=min(6,floor(b/3))",4,0.3472222222222222,0,0.5
min6_quarter,"K(b)=min(6,floor(b/4))",4,0.4305555555555556,0,0.5
half,"K(b)=max(1,floor(b/2))",4,0.4722222222222222,19,0.5
third,"K(b)=max(1,floor(b/3))",4,0.375,0,0.5
quarter,"K(b)=max(1,floor(b/4))",4,0.3194444444444444,0,0.5
fixed_k6,K(b)=6,6,0.625,61,0.7337962962962963
min6_half,"K(b)=min(6,floor(b/2))",6,0.6111111111111112,59,0.5486111111111112
min6_third,"K(b)=min(6,floor(b/3))",6,0.5694444444444444,23,0.5
min6_quarter,"K(b)=min(6,floor(b/4))",6,0.2638888888888889,0,0.5
half,"K(b)=max(1,floor(b/2))",6,0.625,55,0.5381944444444444
third,"K(b)=max(1,floor(b/3))",6,0.5555555555555556,25,0.5
quarter,"K(b)=max(1,floor(b/4))",6,0.25,0,0.5
fixed_k6,K(b)=6,8,0.7638888888888888,54,0.7056051587301587
min6_half,"K(b)=min(6,floor(b/2))",8,0.5694444444444444,60,0.5561177248677249
min6_third,"K(b)=min(6,floor(b/3))",8,0.4861111111111111,20,0.5
min6_quarter,"K(b)=min(6,floor(b/4))",8,0.5277777777777778,24,0.5
half,"K(b)=max(1,floor(b/2))",8,0.7083333333333334,56,0.5479497354497354
third,"K(b)=max(1,floor(b/3))",8,0.4722222222222222,17,0.5
quarter,"K(b)=max(1,floor(b/4))",8,0.5833333333333334,19,0.5
fixed_k6,K(b)=6,10,0.75,57,0.6251212522045856
min6_half,"K(b)=min(6,floor(b/2))",10,0.6666666666666666,62,0.5462962962962963
min6_third,"K(b)=min(6,floor(b/3))",10,0.625,53,0.5208333333333334
min6_quarter,"K(b)=min(6,floor(b/4))",10,0.4305555555555556,30,0.5
half,"K(b)=max(1,floor(b/2))",10,0.6527777777777778,62,0.5621527777777778
third,"K(b)=max(1,floor(b/3))",10,0.5694444444444444,59,0.5277777777777778
quarter,"K(b)=max(1,floor(b/4))",10,0.5694444444444444,18,0.5
fixed_k6,K(b)=6,12,0.7638888888888888,62,0.5776785714285714
min6_half,"K(b)=min(6,floor(b/2))",12,0.7222222222222222,61,0.5703733766233766
min6_third,"K(b)=min(6,floor(b/3))",12,0.6666666666666666,66,0.5180555555555555
min6_quarter,"K(b)=min(6,floor(b/4))",12,0.6527777777777778,59,0.5381944444444444
half,"K(b)=max(1,floor(b/2))",12,0.6805555555555556,59,0.5675595238095238
third,"K(b)=max(1,floor(b/3))",12,0.7083333333333334,60,0.5249999999999999
quarter,"K(b)=max(1,floor(b/4))",12,0.4722222222222222,58,0.5138888888888888
fixed_k6,K(b)=6,14,0.625,55,0.5502810846560846
min6_half,"K(b)=min(6,floor(b/2))",14,0.6944444444444444,66,0.5405483405483406
min6_third,"K(b)=min(6,floor(b/3))",14,0.7083333333333334,65,0.5215277777777777
min6_quarter,"K(b)=min(6,floor(b/4))",14,0.4722222222222222,60,0.5034722222222222
half,"K(b)=max(1,floor(b/2))",14,0.7083333333333334,65,0.6172924297924298
third,"K(b)=max(1,floor(b/3))",14,0.6805555555555556,61,0.5256944444444445
quarter,"K(b)=max(1,floor(b/4))",14,0.625,63,0.5069444444444444
fixed_k6,K(b)=6,16,0.75,63,0.5404491341991342
min6_half,"K(b)=min(6,floor(b/2))",16,0.5694444444444444,59,0.5433531746031747
min6_third,"K(b)=min(6,floor(b/3))",16,0.6111111111111112,60,0.530324074074074
min6_quarter,"K(b)=min(6,floor(b/4))",16,0.625,61,0.5368055555555555
half,"K(b)=max(1,floor(b/2))",16,0.6666666666666666,60,0.6199812918562918
third,"K(b)=max(1,floor(b/3))",16,0.6111111111111112,63,0.5616512345679012
quarter,"K(b)=max(1,floor(b/4))",16,0.5972222222222222,55,0.5284722222222222
