case_id,source_file,problem_text_present,problem_text_length,gold_present,selected_schema,safe_for_live_probe,exclusion_reason
openai_gsm8k_1077,selected_5case_schema_grounded_cases.csv,True,155,True,ratio_equation_schema,yes,
openai_gsm8k_1080,selected_5case_schema_grounded_cases.csv,True,109,True,quantity_ledger_schema,yes,
openai_gsm8k_1081,selected_5case_schema_grounded_cases.csv,True,346,True,before_after_state_schema,yes,
openai_gsm8k_1091,selected_5case_schema_grounded_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1096,selected_5case_schema_grounded_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1121,selected_schema_grounded_cases.csv,False,0,False,before_after_state_schema,no,missing_problem_text
openai_gsm8k_1155,selected_schema_grounded_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1198,selected_schema_grounded_cases.csv,False,0,False,before_after_state_schema,no,missing_problem_text
openai_gsm8k_1077,selected_schema_grounded_cases.csv,False,0,False,ratio_equation_schema,no,missing_problem_text
openai_gsm8k_1080,selected_schema_grounded_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1081,selected_schema_grounded_cases.csv,False,0,False,before_after_state_schema,no,missing_problem_text
openai_gsm8k_1112,selected_schema_grounded_cases.csv,False,0,False,target_difference_schema,no,missing_problem_text
openai_gsm8k_1115,selected_schema_grounded_cases.csv,False,0,False,rate_table_schema,no,missing_problem_text
openai_gsm8k_1131,selected_schema_grounded_cases.csv,False,0,False,ratio_equation_schema,no,missing_problem_text
openai_gsm8k_1132,selected_schema_grounded_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1137,selected_schema_grounded_cases.csv,False,0,False,ratio_equation_schema,no,missing_problem_text
openai_gsm8k_1144,selected_schema_grounded_cases.csv,False,0,False,average_total_count_schema,no,missing_problem_text
openai_gsm8k_1210,selected_schema_grounded_cases.csv,False,0,False,before_after_state_schema,no,missing_problem_text
openai_gsm8k_1291,selected_schema_grounded_cases.csv,False,0,False,average_total_count_schema,no,missing_problem_text
openai_gsm8k_1303,selected_schema_grounded_cases.csv,False,0,False,ratio_equation_schema,no,missing_problem_text
openai_gsm8k_1077,all_our_failure_cases.csv,True,155,True,ratio_equation_schema,yes,
openai_gsm8k_1080,all_our_failure_cases.csv,True,109,True,quantity_ledger_schema,yes,
openai_gsm8k_1081,all_our_failure_cases.csv,True,346,True,before_after_state_schema,yes,
openai_gsm8k_1091,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1096,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1100,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1105,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1106,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1107,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1108,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1109,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1110,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1111,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1112,all_our_failure_cases.csv,True,622,True,target_difference_schema,yes,
