example_id,outcome_bucket,our_exact,external_exact,our_answer,external_answer,our_gold_in_pool,external_gold_in_pool,failure_stage,operation_hints,quantity_bucket,question_length_bucket,our_candidate_diversity,external_tree_available
openai_gsm8k_3,both_correct,1,1,160,,0,,gold_absent_everywhere_detectable,product,qnum_2_3,len_long,0,0
openai_gsm8k_2,both_correct,1,1,159,,0,,gold_absent_everywhere_detectable,rate_ratio|difference,qnum_4_5,len_long,0,0
openai_gsm8k_1,both_correct,1,1,106,,0,,gold_absent_everywhere_detectable,percent|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_6,external_only,0,1,500,32,0,,gold_absent_everywhere_detectable,rate_ratio|product,qnum_4_5,len_long,0,0
openai_gsm8k_576,external_only,0,1,6,11232,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_6p,len_long,0,0
openai_gsm8k_3,external_only,0,1,5,10,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_158,external_only,0,1,33,34,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_12,external_only,0,1,840,70,0,,gold_absent_everywhere_detectable,difference|product,qnum_2_3,len_long,0,0
openai_gsm8k_7,external_only,0,1,20,60,0,,gold_absent_everywhere_detectable,rate_ratio|difference,qnum_4_5,len_long,0,0
openai_gsm8k_3,external_only,0,1,91,10,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_17,external_only,0,1,15,10,0,,gold_absent_everywhere_detectable,temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_158,external_only,0,1,45,34,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_12,external_only,0,1,1200,70,0,,gold_absent_everywhere_detectable,difference|product,qnum_2_3,len_long,0,0
openai_gsm8k_6,external_only,0,1,52,32,0,,gold_absent_everywhere_detectable,rate_ratio|product,qnum_4_5,len_long,0,0
openai_gsm8k_5,external_only,0,1,180,280,0,,gold_absent_everywhere_detectable,temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_4,external_only,0,1,41,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_3,external_only,0,1,160,10,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_158,external_only,0,1,200,34,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_12,external_only,0,1,9,70,0,,gold_absent_everywhere_detectable,difference|product,qnum_2_3,len_long,0,0
openai_gsm8k_1,external_only,0,1,27,106,0,,gold_absent_everywhere_detectable,percent|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_1,both_correct,1,1,106,,0,,gold_absent_everywhere_detectable,percent|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_0,external_only,0,1,9,,0,,gold_in_selector_pool,none,qnum_2_3,len_long,0,0
openai_gsm8k_7,external_only,0,1,70,,0,,gold_absent_everywhere_detectable,total_sum,qnum_0_1,len_long,0,0
openai_gsm8k_5,external_only,0,1,13,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_15,external_only,0,1,94,,0,,gold_absent_everywhere_detectable,rate_ratio|total_sum|temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_10,external_only,0,1,36,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_576,external_only,0,1,6,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_6p,len_long,0,0
openai_gsm8k_16,external_only,0,1,13,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_158,external_only,0,1,13,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_11,external_only,0,1,10650,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_6p,len_long,0,0
openai_gsm8k_15,external_only,0,1,22,,0,,gold_absent_everywhere_detectable,rate_ratio|division_share,qnum_2_3,len_long,0,0
openai_gsm8k_14,external_only,0,1,34,,0,,gold_absent_everywhere_detectable,total_sum,qnum_2_3,len_long,0,0
openai_gsm8k_13,external_only,0,1,30,,0,,gold_absent_everywhere_detectable,rate_ratio|total_sum,qnum_2_3,len_long,0,0
openai_gsm8k_9,external_only,0,1,4,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_8,external_only,0,1,8,,0,,gold_absent_everywhere_detectable,total_sum|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_7,external_only,0,1,20,,0,,gold_absent_everywhere_detectable,difference|division_share,qnum_2_3,len_long,0,0
openai_gsm8k_6,external_only,0,1,8,,0,,gold_absent_everywhere_detectable,total_sum,qnum_4_5,len_long,0,0
openai_gsm8k_3,external_only,0,1,91,,0,,gold_absent_everywhere_detectable,difference|temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_17,external_only,0,1,15,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_14,external_only,0,1,-3,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_12,external_only,0,1,1200,,0,,gold_absent_everywhere_detectable,difference|product,qnum_2_3,len_long,0,0
openai_gsm8k_10,external_only,0,1,26,,0,,gold_absent_everywhere_detectable,percent,qnum_2_3,len_long,0,0
openai_gsm8k_7,external_only,0,1,3,,0,,gold_absent_everywhere_detectable,difference,qnum_2_3,len_medium,0,0
openai_gsm8k_5,external_only,0,1,180,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_4,both_correct,1,1,68,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_27,both_correct,1,1,6,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_17,external_only,0,1,156,,0,,gold_absent_everywhere_detectable,rate_ratio|temporal_change,qnum_6p,len_long,0,0
openai_gsm8k_13,external_only,0,1,156,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_11,both_correct,1,1,4800,,0,,gold_absent_everywhere_detectable,total_sum|difference|product,qnum_4_5,len_long,0,0
openai_gsm8k_10,external_only,0,1,32,,0,,gold_absent_everywhere_detectable,difference,qnum_2_3,len_medium,0,0
openai_gsm8k_6,both_correct,1,1,32,,0,,gold_absent_everywhere_detectable,rate_ratio|product,qnum_4_5,len_long,0,0
openai_gsm8k_3,both_correct,1,1,10,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_29,both_correct,1,1,8,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
