case_id,dataset,example_id,seed,budget,gold_answer,original_answer,original_correct,self_consistency_answer,self_consistency_correct,cohere_answer,cohere_correct,external_answer,external_correct,gold_present_in_candidate_pool,self_fix,self_break,cohere_fix,cohere_break,self_valid_vote_count,self_invalid_candidate_count,self_tie_flag,self_vote_share
openai/gsm8k::openai_gsm8k_0::11::4,openai/gsm8k,openai_gsm8k_0,11,4,11,11,1,11,1,11,1,11,1,1,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_0::11::6,openai/gsm8k,openai_gsm8k_0,11,6,11,16,0,11,1,11,1,11,1,1,1,0,1,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_0::11::8,openai/gsm8k,openai_gsm8k_0,11,8,11,12,0,11,1,11,1,11,1,1,1,0,1,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_0::23::4,openai/gsm8k,openai_gsm8k_0,23,4,53,53,1,53,1,53,1,53,1,1,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_0::23::6,openai/gsm8k,openai_gsm8k_0,23,6,53,53,1,53,1,53,1,53,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_0::23::8,openai/gsm8k,openai_gsm8k_0,23,8,53,53,1,53,1,53,1,53,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_0::37::4,openai/gsm8k,openai_gsm8k_0,37,4,500,750,0,750,0,750,0,750,0,1,0,0,0,0,3,0,0,0.6666666666666666
openai/gsm8k::openai_gsm8k_0::37::6,openai/gsm8k,openai_gsm8k_0,37,6,500,750,0,750,0,500,1,750,0,1,0,0,1,0,4,0,1,0.5
openai/gsm8k::openai_gsm8k_0::37::8,openai/gsm8k,openai_gsm8k_0,37,8,500,750,0,750,0,500,1,750,0,1,0,0,1,0,4,0,1,0.5
openai/gsm8k::openai_gsm8k_0::41::4,openai/gsm8k,openai_gsm8k_0,41,4,1450000,11500000,0,11500000,0,11500000,0,6850000,0,0,0,0,0,0,2,0,1,0.5
openai/gsm8k::openai_gsm8k_0::41::6,openai/gsm8k,openai_gsm8k_0,41,6,1450000,10000000,0,1250000,0,1000000,0,6850000,0,0,0,0,0,0,3,0,1,0.3333333333333333
openai/gsm8k::openai_gsm8k_0::41::8,openai/gsm8k,openai_gsm8k_0,41,8,1450000,6800000,0,775000,0,6800000,0,6850000,0,0,0,0,0,0,3,0,1,0.3333333333333333
openai/gsm8k::openai_gsm8k_0::53::4,openai/gsm8k,openai_gsm8k_0,53,4,3,4,0,3,1,21,0,3,1,1,1,0,0,0,3,0,1,0.3333333333333333
openai/gsm8k::openai_gsm8k_0::53::6,openai/gsm8k,openai_gsm8k_0,53,6,3,3,1,3,1,3,1,3,1,1,0,0,0,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_0::53::8,openai/gsm8k,openai_gsm8k_0,53,8,3,21,0,3,1,3,1,21,0,1,1,0,1,0,4,0,0,0.5
openai/gsm8k::openai_gsm8k_0::67::4,openai/gsm8k,openai_gsm8k_0,67,4,16,16,1,16,1,16,1,16,1,1,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_0::67::6,openai/gsm8k,openai_gsm8k_0,67,6,16,16,1,16,1,16,1,16,1,1,0,0,0,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_0::67::8,openai/gsm8k,openai_gsm8k_0,67,8,16,16,1,16,1,16,1,16,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_1::11::4,openai/gsm8k,openai_gsm8k_1,11,4,106,106,1,106,1,106,1,106,1,1,0,0,0,0,3,0,0,0.6666666666666666
openai/gsm8k::openai_gsm8k_1::11::6,openai/gsm8k,openai_gsm8k_1,11,6,106,106.12,0,106.12,0,106.12,0,106.12,0,1,0,0,0,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_1::11::8,openai/gsm8k,openai_gsm8k_1,11,8,106,106,1,106,1,106,1,106,1,1,0,0,0,0,4,0,0,0.5
openai/gsm8k::openai_gsm8k_1::23::4,openai/gsm8k,openai_gsm8k_1,23,4,27,27,1,27,1,27,1,27,1,1,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_1::23::6,openai/gsm8k,openai_gsm8k_1,23,6,27,9,0,27,1,27,1,27,1,1,1,0,1,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_1::23::8,openai/gsm8k,openai_gsm8k_1,23,8,27,9,0,27,1,27,1,27,1,1,1,0,1,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_1::37::4,openai/gsm8k,openai_gsm8k_1,37,4,2,0.5263,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0.6666666666666666
openai/gsm8k::openai_gsm8k_1::37::6,openai/gsm8k,openai_gsm8k_1,37,6,2,1,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0.5
openai/gsm8k::openai_gsm8k_1::37::8,openai/gsm8k,openai_gsm8k_1,37,8,2,1,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_1::41::4,openai/gsm8k,openai_gsm8k_1,41,4,75,115,0,115,0,115,0,75,1,1,0,0,0,0,2,0,1,0.5
openai/gsm8k::openai_gsm8k_1::41::6,openai/gsm8k,openai_gsm8k_1,41,6,75,135,0,75,1,75,1,75,1,1,1,0,1,0,3,0,0,0.6666666666666666
openai/gsm8k::openai_gsm8k_1::41::8,openai/gsm8k,openai_gsm8k_1,41,8,75,75,1,75,1,75,1,75,1,1,0,0,0,0,3,0,0,0.6666666666666666
openai/gsm8k::openai_gsm8k_1::53::4,openai/gsm8k,openai_gsm8k_1,53,4,70,55,0,72.5,0,55,0,72.5,0,1,0,0,0,0,3,0,1,0.3333333333333333
openai/gsm8k::openai_gsm8k_1::53::6,openai/gsm8k,openai_gsm8k_1,53,6,70,72.5,0,72.5,0,72.50,0,67.5,0,0,0,0,0,0,4,0,0,0.75
openai/gsm8k::openai_gsm8k_1::53::8,openai/gsm8k,openai_gsm8k_1,53,8,70,55,0,72.5,0,55,0,67.5,0,0,0,0,0,0,4,0,1,0.25
openai/gsm8k::openai_gsm8k_1::67::4,openai/gsm8k,openai_gsm8k_1,67,4,99,44,0,56,0,36,0,44,0,0,0,0,0,0,3,0,1,0.3333333333333333
openai/gsm8k::openai_gsm8k_1::67::6,openai/gsm8k,openai_gsm8k_1,67,6,99,44,0,36,0,36,0,56,0,0,0,0,0,0,4,0,0,0.5
openai/gsm8k::openai_gsm8k_1::67::8,openai/gsm8k,openai_gsm8k_1,67,8,99,36,0,40,0,36,0,44,0,0,0,0,0,0,4,0,1,0.5
openai/gsm8k::openai_gsm8k_10::11::4,openai/gsm8k,openai_gsm8k_10,11,4,39,39,1,39,1,39,1,39,1,1,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_10::11::6,openai/gsm8k,openai_gsm8k_10,11,6,39,39,1,39,1,39,1,39,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_10::11::8,openai/gsm8k,openai_gsm8k_10,11,8,39,39,1,39,1,39,1,39,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_10::23::4,openai/gsm8k,openai_gsm8k_10,23,4,32,21.33333333,0,32,1,21.333333333333332,0,32,1,1,1,0,0,0,3,0,1,0.3333333333333333
openai/gsm8k::openai_gsm8k_10::23::6,openai/gsm8k,openai_gsm8k_10,23,6,32,28,0,21.33,0,21.33,0,21.33,0,1,0,0,0,0,4,0,1,0.25
openai/gsm8k::openai_gsm8k_10::23::8,openai/gsm8k,openai_gsm8k_10,23,8,32,21.33,0,32,1,32,1,22,0,1,1,0,1,0,4,0,0,0.5
openai/gsm8k::openai_gsm8k_10::37::4,openai/gsm8k,openai_gsm8k_10,37,4,26,26,1,26,1,26,1,26,1,1,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_10::37::6,openai/gsm8k,openai_gsm8k_10,37,6,26,26,1,26,1,26,1,26,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_10::37::8,openai/gsm8k,openai_gsm8k_10,37,8,26,26,1,26,1,26,1,26,1,1,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_10::41::4,openai/gsm8k,openai_gsm8k_10,41,4,1000,600,0,600,0,600,0,600,0,0,0,0,0,0,3,0,0,1.0
openai/gsm8k::openai_gsm8k_10::41::6,openai/gsm8k,openai_gsm8k_10,41,6,1000,600,0,600,0,600,0,600,0,0,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_10::41::8,openai/gsm8k,openai_gsm8k_10,41,8,1000,600,0,600,0,600,0,600,0,0,0,0,0,0,4,0,0,1.0
openai/gsm8k::openai_gsm8k_10::53::4,openai/gsm8k,openai_gsm8k_10,53,4,5,5,1,5,1,5,1,3,0,1,0,0,0,0,3,0,0,0.6666666666666666
openai/gsm8k::openai_gsm8k_10::53::6,openai/gsm8k,openai_gsm8k_10,53,6,5,5,1,5,1,5,1,5,1,1,0,0,0,0,4,0,0,0.75
