dataset,seed,budget,example_id,method,runtime_method,is_correct,actions,expansions,verifications,absent_from_tree,output_layer_mismatch,failure_type,question,ground_truth
Idavidrein/gpqa,11,4,synthetic_0,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,1,4,4,0,0,0,correct,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,strict_gate1_cap_k6,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth2_then_gate_v1_optimistic_collapse_first_hard_max_family_expansions_cap_k6_v1_fixed_k6_control,1,4,4,0,0,0,correct,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,strict_f2,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth2_coverage_forced_v1,1,4,4,0,0,0,correct,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,external_l1_max,external_l1_max,0,1,1,0,1,0,absent_from_tree,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,self_consistency_3,self_consistency_3,0,4,3,1,1,0,absent_from_tree,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,tale,external_tale_prompt_budgeting,0,3,3,0,1,0,absent_from_tree,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,s1,external_s1_budget_forcing,1,3,3,0,0,0,correct,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_0,l1_exact,external_l1_exact,1,3,3,0,0,0,correct,What is 0+0?,0
Idavidrein/gpqa,11,4,synthetic_1,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,0,4,4,0,1,0,absent_from_tree,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,strict_gate1_cap_k6,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth2_then_gate_v1_optimistic_collapse_first_hard_max_family_expansions_cap_k6_v1_fixed_k6_control,0,4,4,0,1,0,absent_from_tree,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,strict_f2,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth2_coverage_forced_v1,1,4,4,0,0,0,correct,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,external_l1_max,external_l1_max,0,2,2,0,1,0,absent_from_tree,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,self_consistency_3,self_consistency_3,1,4,3,1,0,0,correct,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,tale,external_tale_prompt_budgeting,0,2,2,0,1,0,absent_from_tree,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,s1,external_s1_budget_forcing,0,4,4,0,1,0,absent_from_tree,What is 1+1?,2
Idavidrein/gpqa,11,4,synthetic_1,l1_exact,external_l1_exact,0,4,4,0,1,0,absent_from_tree,What is 1+1?,2
